Name,Accounts,COMENTARIOS,Date,Direction,GANANCIA NETA,IMAGEN,P/L (1),PUNTOS,RR NEGATIVO,RRx,STOP
Trade Template,,,5 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/oPFKmKFN/,-1 %,155,No,,"77,50 US$"
Trade Template,,,5 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/yTHnxybX/,"0,7 %",69,Yes,,"34,50 US$"
Trade Template,,,2 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/7P7pPHMY/,"0,7 %",339,Yes,,"169,50 US$"
Trade Template,,,2 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/Uh44Lr3q/,-1 %,217,No,,"108,50 US$"
Trade Template,,,2 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/GgCOjYdk/,"0,7 %",146,Yes,,"73,00 US$"
Trade Template,,TARDO MAS,2 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/JpRVpQib/,"0,7 %",228,Yes,,"114,00 US$"
Trade Template,,,31 de diciembre de 2025,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,ORDER%20FLOW%20NASDAQ/31_de_dic_1.png,"0,7 %",56,Yes,,"28,00 US$"
Trade Template,,,20 de enero de 2026,LARGO (https://www.notion.so/LARGO-265d57c82e068131af44ceccff9752bd?pvs=21),,https://www.tradingview.com/x/khb73Dbx/,"0,7 %",157,Yes,,"78,50 US$"
Trade Template,,,20 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),," https://www.tradingview.com/x/A9PiMekk/",-1 %,180,No,,"90,00 US$"
Trade Template,,,20 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/gAQB8a62/,-1 %,279,No,,"139,50 US$"
Trade Template (1),,,21 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/pcthKadS/,"0,7 %",184,Yes,,"92,00 US$"
Trade Template,,,21 de enero de 2026,SHORT (https://www.notion.so/SHORT-265d57c82e0681d49641f321274bcf18?pvs=21),,https://www.tradingview.com/x/Ur5qzOVW/,"0,7 %",34,Yes,,"17,00 US$"
